,tweets
161,"The United States of America

#AdamToledo #DaunteWright #Protests 

#BrooklynCenter #PDX #Minneapolis #Hollywood… https://t.co/ZgVriG5sPB"
162,Many were not treated as if there was a free press in #brooklyncenter https://t.co/51UyEUbjIb
163,"#BrooklynCenter #Minneapolis
Cops need to retaliate:
NYPD officers hit with Molotov cocktail and liquid chemical in… https://t.co/sAqwJ9oeez"
164,"#BrooklynCenter #DaunteWright
Friends of you a**holes?
https://t.co/f2277Lyyn9"
165,Five Sheriff SWAT vehicles turning onto Shingle Creek Parkway headed in the direction of the Minneapolis 5th Precin… https://t.co/3zdvUv28KK
166,"@benandjerrys We don’t need 2 OLD #WhitePrivilege MEN, wealthy beyond belief, inciting #Violence in poor #black nei… https://t.co/fgjnGnDJYR"
167,"Excessive Mass Military Operation! 
Small transit buses, multiwheel trucks, bicycles all moved on protestors.… https://t.co/isxCcxaLFt"
168,"We are under military occupation for a week or so... I think we just leveled up because these are trolling around,… https://t.co/YdudQe1m7u"
169,Here’s an episode for you… Another senseless killing; end for McGregor? Double standards for Trevor Lawrence? The a… https://t.co/aALpueIakK
170,@GovTimWalz Wow look who finally showed up. Yet has not been to #BrooklynCenter  and still out of touch with the bl… https://t.co/gSbrvYzjE9
171,"..Y'all gonna resurrect that Great Angel of the Devil,
Donald J. Trump.. 

Then, Trumpism.

Y'all want that?… https://t.co/0oTsQlYLVR"
172,"Y'all be part of the #RacialInjustice problem itself..

#Minneapolis #Minneapolisprotests #GeorgeFloyd 

#Chicago… https://t.co/XXGiQJU992"
173,"..starting heated confrontations along w/starting physical fights..

#Minneapolis #Minneapolisprotests #GeorgeFloyd… https://t.co/zNqwZ3fKzM"
174,"If y'all keep up w/that writing, defacing, destroying property, clashing w/Police, ..

#Minneapolis… https://t.co/K1kaqvKe4F"
175,"“We need to listen to science, whether it’s on the topic of COVID or policing,” @bcunningMDPHD. We are calling on… https://t.co/rUPLmWIEyL"
176,"Journalist @EleonoreSens and another member of the press is maced by Minnesota Police in #BrooklynCenter

There is… https://t.co/TiT6X4Xvd2"
177,"🇺🇸 USA protest alert

BLM protest Denver Boston Austin USA 

https://t.co/naYdcIZhRf

For more information email ci… https://t.co/UTLmiBsn63"
178,"#BrooklynCenter
As discussed during the ‘Operation Safety Net’ press conference: https://t.co/ASr4zr4Byf"
179,Pray- pray for justice before you pray for peace.  And if you are going to promote a prayer gathering in BC or BP M… https://t.co/MUw5e7q3WQ
180,Do you really live in a democracy if you struggle to differentiate between your county’s police force and its milit… https://t.co/yqiozt2kky
181,"Hey #BrooklynCenter if you plan to put in place a curfew, DO IT NOW! Stop doing it last minute because last night… https://t.co/7MWNK5I3Yc"
182,"#BrooklynCenter
“Will no longer photograph media members and their credentials” https://t.co/JBWfJBjJIu"
183,"Protests - #BLM Demonstrations Across America = LIVE - #FreeSpeech https://t.co/ur2mncfMTk via @YouTube 

#blm… https://t.co/g6gOx3OJzH"
184,White people to the front. And don’t provoke the pigs in such a way that BIPOC pay the price for your actions.… https://t.co/AyiAoJYvUK
185,"""THEY USE THEIR POWER...WHATEVER THEY WANT TO DO TO BREAK US DOWN:""
""Think about how scary it is to live each day &amp;… https://t.co/ZLlgPs6IVL"
186,Thank you gentlemen and welcome to #BrooklynCenter #JusticeForDaunteWright #BlackLivesMatter https://t.co/ozURXd0Rgb
187,Scenes from the sixth night of #BlackLivesMatter protests outside the #BrooklynCenter Police Department in response… https://t.co/Ju7GpvGYaA
188,"corrected ## 

Officials from 
@MinnesotaOSN
 say 136 people were arrested last night. They say:

-47 by Henn Co Sh… https://t.co/uT3UPIi1SZ"
189,#firearms #oldpeopleshomeAU #GunReformNow #police #kill #SafetyFirst #PoliceReformNow #Defund #BrooklynCenter… https://t.co/YnpUjyUIH8
190,"#BrooklynCenter
“No journalists” https://t.co/Kyr4dUn8rU"
191,The price tag human life is too high #BlackLivesMatter  &amp; Racist of all race like 0 fights chicken Cloaca Chuck Zit… https://t.co/m9r08ipbe7
192,I spent all morning volunteering in #BrooklynCenter with @WeAreOneMN handing out food and supplies to those who nee… https://t.co/VH2QhkawJK
193,This is fascism. We cannot tolerate this abuse of power. #BrooklynCenter #DaunteWright #DefundThePolice https://t.co/pMFBRD3dJ2
194,"#BrooklynCenter Police Officer #KimPotter, a day after “accidentally” killing a man:
“I have loved every minute of… https://t.co/rBK7ogJZb2"
195,"""THEY USE THEIR POWER...WHATEVER THEY WANT TO DO TO BREAK US DOWN:""
""Think about how scary it is to live each day &amp;… https://t.co/7pODe2FW1K"
196,"Watch Day 1, Part 1: Protests &amp; Riots After #DaunteWright Was Killed by Former Officer Kim Potter in… https://t.co/2WyLljLOhp"
197,"@thehill Brutalizing peaceful protestors and unarmed civilians still OK though?

#Minnesota #Minneapolis #BrooklynCenter"
