,tweets
135,"The trial of Derek Chauvin: Reflections for Australia | @USSC's @Tori_Cooper__ 

🔗 https://t.co/IseeGHV2QI… https://t.co/6JGuorvQw2"
136,Journalists allege harassment by law enforcement amid Minneapolis protests https://t.co/HsVXvp7sVc #Minneapolis #GeorgeFloyd #DerekChauvin
137,What has been revealed in the trial of Derek Chauvin? | A socialist and Marxist perspective.… https://t.co/4KeyTEc3aU
138,@moose57579 @nypost all I really have to do is read the newspaper or trun on the nightly news #SayHerName #SayHisName #GeorgeFloyd
139,Justice is on Trial in the #GeorgeFloyd Murder Case https://t.co/RqtwWcxDHk
140,"#justicejusticejusticejustice 

For #AdamToledo 
#DaunteWright 
#BreonnaTaylor 
#ElijahMcClain 
#GeorgeFloyd… https://t.co/P4I7Eo5RFH"
141,"The Killer Of George Floyd Is Writing Notes Like A Crazy Man https://t.co/zNxOOrH17m
 … #killer #trial #GeorgeFloyd #Police  #jury"
142,"The senseless death of Daunte Wright should lead to changes in the law. 

#DerekChauvin #LawAndCrime #DaunteWright… https://t.co/JQlSPS5oXu"
143,Here are the #’s from U of MN doctors: 89 people injured by #LessLethal weapons during #GeorgeFloyd protests. 32 pe… https://t.co/o4yazVgv8f
144,@WurstAdviceEver Why are you worried about #BLM. So glad #GeorgeFloydIsNotOnTrial was caught on tape. No more cover… https://t.co/QbUDoKW5Jc
145,"#ActiveShooter #GeorgeFloyd With all the guns and angry untrained cops around, does anybody think cop murders and m… https://t.co/sDhFbb9m69"
146,"America is mourning e death of #GeorgeFloyd , #DuanteWright, #AdamToledo  &amp; so many more ppl. of color that have be… https://t.co/8NXDRg4730"
147,"Excessive Mass Military Operation! 
Small transit buses, multiwheel trucks, bicycles all moved on protestors.… https://t.co/isxCcxaLFt"
148,Cop earn their respect from their community's they are NOT just given it. #StopPoliceBrutality #GeorgeFloyd… https://t.co/4mWsaxoLFV
149,"@lucretius153 @KevinLevin Black slaves were burned alive. They endured great horror from white slaveowners. 

Now w… https://t.co/S915tUdodc"
150,I hope this isn't a sneak preview of Minneapolis next week after the jury reaches it's decision. The movie… https://t.co/ie5mKBqmFt
151,Oh and she’s also applying for the @utahjazz scholarship! Hope @RyanQualtrics @DwyaneWade sees this! She sold it la… https://t.co/b6CnUxCybP
152,"EXCERPT from Saturday’s THE POLITICRAT daily #podcast episode. This clip: A week to remember, for sure. #Spotify… https://t.co/Tf8ic2pO1q"
153,@PavelAn92192869 @JoeBiden @POTUS What's #GeorgeFloyd favorite color?  Neon Black
154,"..Y'all gonna resurrect that Great Angel of the Devil,
Donald J. Trump.. 

Then, Trumpism.

Y'all want that?… https://t.co/0oTsQlYLVR"
155,"Y'all be part of the #RacialInjustice problem itself..

#Minneapolis #Minneapolisprotests #GeorgeFloyd 

#Chicago… https://t.co/XXGiQJU992"
156,"..starting heated confrontations along w/starting physical fights..

#Minneapolis #Minneapolisprotests #GeorgeFloyd… https://t.co/zNqwZ3fKzM"
157,"If y'all keep up w/that writing, defacing, destroying property, clashing w/Police, ..

#Minneapolis… https://t.co/K1kaqvKe4F"
158,"""How many more have to die?"" President @BSU_UMN 
Students Supporting Daunte Wright https://t.co/koVr8J1yhC… https://t.co/KYiYNFVwGV"
159,#Baltimore city voters soon may get the opportunity to vote on how #policing is rendered on the city. The#BPD has s… https://t.co/Tm1hZDLhbO
160,"Almost a year later since the #georgefloyd protests, many cities continue protesting. This time, in memory of… https://t.co/icr9DyDrEH"
161,Thank you @bcunningMDPHD &amp; @erika_kaske for your leadership in sharing vital data that “less lethal” weapons ≠ non-… https://t.co/TcFgKnyryM
162,Americans turned against @POTUS45 cause of #GeorgeFloyd and #BlackLivesMatter yet the killer of #floyd is running f… https://t.co/fy9a8k3yG7
163,#ChauvinTrial #ChauvinTrialOnHLN #GeorgeFloyd was a #Taxpayer. Our taxes pay police to #ProtectAndServe.… https://t.co/ZqhEsxZVR2
164,@AndroidCarlisle @Mike___Kilo @Steph98706 Let's talk about white-supremacist #UmbrellaMan who was engaging in rando… https://t.co/cM4VCSbXFZ
165,Your idols are fake. #youridolsarefake #georgefloyd #blacklivesmatter https://t.co/ZhNID6Lnl0
166,This is how I feel when bloodthirsty dictators like @JoeBiden @POTUS and others force me to wear that stupid face c… https://t.co/awq6mMuzdM
167,"""Why Trump Lost:""
1 week after #GeorgeFloyd's murder, nonviolent protesters in DC demanded justice for him &amp; were v… https://t.co/ULpP3OmFPE"
168,#GeorgeFloydIsNotOnTrial the same thing that was happening 70/80yrs ago is still happening today. The only thing we… https://t.co/3ziWYMM5aL
169,"@larstoon True, but it makes it difficult to fully convict for murder, after the pathologist testified that Floyd d… https://t.co/d34Ymm4hCz"
170,When jurors start deliberating on whether #DerekChauvin is guilty of murder and manslaughter in #GeorgeFloyd's deat… https://t.co/czFR7cQX57
171,"#DaunteWright #GeorgeFloyd 

We don’t need to Defund the police. We need to DIVERSIFY the police. We need people on… https://t.co/l5AamkGjWq"
172,"More #MelanoidMonkeyshines by #TheUsualSuspects
#GeorgeFloyd
#DerekChauvinTrail https://t.co/80DLi2hXmC"
173,"If you make excuses for cops murdering people of color, you are racist. Lets not sugarcoat your bullshit.… https://t.co/qknAqZFC4S"
174,"The last 7 days been heavy!!!
The passing of #DMX
The video of #AdamToledo 
The shooting of #DaunteWright 
The clos… https://t.co/17HxS5Gjmh"
175,"In my opinion Derek Chauvin's Attorney is awful.

I absolutely dislike how he asks questions about a general situat… https://t.co/FLgMasHq3F"
176,This is what happens when the State thinks the problem last summer was that a police precinct was destroyed and not… https://t.co/j92SBFYBN0
177,Tomorrow we head to Minneapolis to support organizers on the ground who are up against a military style operation b… https://t.co/jqQPHcDrFK
178,"Derek Chauvin Trial: Shapiro Breaks Down The Latest Evidence https://t.co/j0KqyCZCA2 via @YouTube 
#DerekChauvin… https://t.co/3bxkRZjKhc"
179,Soulless eyes. Horrifying resemblance. Killers both. #ChauvinIsGuiltyAF #KimPotterGuiltyAF #EndPoliceTerror… https://t.co/hWuGadA3pC
180,#DerekChauvin def murdered #georgefloyd I don’t wanna hear it! He purposely killed him.
181,"""His hands weren’t up""

Like in the #GeorgeFloyd case

the racism forces them to not believe their own eyes https://t.co/KZn4hAj6m9"
182,"The Black Lives Matter Archive Project
https://t.co/FreTmJw8kO

#art #artists #photography #Photographer #ArtCall… https://t.co/ZFcD7aORlg"
183,"A year after the #GeorgeFloyd rebellion, the fight against racist policing is far from over. 'Police reform' has fa… https://t.co/GBCcBLmoWP"
184,My heart truly goes out to the Minneapolis community as residents grieve the death of both #GeorgeFloyd and… https://t.co/Fo7wPYSYz1
185,"MN v. #DerekChauvin trial, ex-cop charged in the death of #GeorgeFloyd.⠀⠀⠀
⠀⠀⠀
#CourtTV is the only one with camera… https://t.co/SmB6iG0q2u"
186,"See, Me &amp; Bre/We be the same /We be girls with/ bold three syllable names/that take up space, like me &amp; Bre. We: Fo… https://t.co/xSh7Udo0h9"
